dataset,Qwen3-VL-Embedding-2B (paper),Qwen3-VL-Embedding-8B (paper),VLM2Vec-Qwen2VL-7B (paper),VLM2Vec-V2.0-2B (paper),GME-7B (paper),WAVE-7B (paper),Omni-Embed-Nemotron-3B (paper),"Qwen3-VL-Embedding-8B (reproduced, ndcg_linear@5)",diff (repro - paper 8B),eval_time_s
NanoBEIR NanoTouche2020,50.1,52.0,34.2,41.6,52.0,5.6,50.3,53.5,1.5,37
R2MED Bioinformatics,35.8,42.2,15.1,19.4,33.2,2.5,36.5,40.5,-1.7,96
R2MED Biology,14.7,17.2,9.3,12.3,3.2,2.7,13.7,17.2,0.0,82
R2MED IIYi-Clinical,21.3,26.3,2.3,8.5,18.5,0.1,16.5,26.1,-0.2,130
R2MED MedQA-Diag,33.6,34.4,16.4,21.8,28.9,17.8,27.4,16.9,-17.5,107
R2MED MedXpertQA-Exam,11.5,17.4,6.0,5.6,5.3,0.5,6.6,12.9,-4.5,103
R2MED Medical-Sciences,10.1,13.1,3.5,4.7,9.3,0.8,6.3,34.9,21.8,69
R2MED PMC-Clinical,21.4,37.1,13.5,14.0,32.2,1.0,21.9,37.7,0.6,224
R2MED PMC-Treatment,30.4,37.4,21.4,28.3,42.0,1.1,14.5,37.5,0.1,58
AVG (n=53),,,,,,,,43.1,0.6,5953
PAPER category avg (Qwen3-VL-Embedding-8B),,,,,,,,42.5,,
